Date,CCTV_ID,First_Seen,Last_Seen,Brand,Color,Type
22-05-2026,CCTV01,04:59:53,05:00:01,Toyota,Gray,Car
22-05-2026,CCTV04,04:59:54,05:00:00,Mitsubishi,White,Car
22-05-2026,CCTV05,04:59:54,05:00:01,Toyota,White,Car
22-05-2026,CCTV03,05:00:00,05:00:02,Hino,Gray,Truck
22-05-2026,CCTV01,05:00:03,05:00:03,Motorcycle,Gray,Motorcycle
22-05-2026,CCTV05,05:00:03,05:00:03,Motorcycle,Gray,Motorcycle
22-05-2026,CCTV04,05:00:07,05:00:08,Toyota,Gray,Car
22-05-2026,CCTV04,05:00:09,05:00:10,Motorcycle,Gray,Motorcycle
22-05-2026,CCTV02,05:00:14,05:00:25,Toyota,Unknown,Car
22-05-2026,CCTV01,05:00:17,05:00:17,Geely,Gray,Car
22-05-2026,CCTV05,05:00:17,05:00:18,Geely,Gray,Car
22-05-2026,CCTV04,05:00:18,05:00:19,Motorcycle,Gray,Motorcycle
22-05-2026,CCTV01,05:00:20,05:00:21,Toyota,Gray,Car
22-05-2026,CCTV04,05:00:21,05:00:25,Motorcycle,Gray,Motorcycle
22-05-2026,CCTV05,05:00:21,05:00:22,Toyota,Gray,Car
22-05-2026,CCTV01,05:00:22,05:00:26,Motorcycle,Gray,Motorcycle
22-05-2026,CCTV05,05:00:23,05:00:29,Motorcycle,Gray,Motorcycle
22-05-2026,CCTV01,05:00:25,05:00:28,Toyota,Gray,Car
22-05-2026,CCTV04,05:00:26,05:00:26,Motorcycle,Gray,Motorcycle
22-05-2026,CCTV01,05:00:27,05:00:28,Motorcycle,Silver,Motorcycle
22-05-2026,CCTV04,05:00:27,05:00:28,Motorcycle,Gray,Car
22-05-2026,CCTV05,05:00:27,05:00:27,Toyota,Silver,Car
22-05-2026,CCTV01,05:00:28,05:00:30,Hino,Navy Blue,Car
22-05-2026,CCTV04,05:00:30,05:00:31,Toyota,Silver,Car
22-05-2026,CCTV05,05:00:31,05:00:39,Toyota,Gray,Car
22-05-2026,CCTV01,05:00:33,05:00:38,Ford,Gray,Car
22-05-2026,CCTV04,05:00:34,05:00:40,Toyota,Gray,Car
22-05-2026,CCTV02,05:00:37,05:00:40,Motorcycle,Gray,Motorcycle
