"camera_id","line_id","x1","y1","x2","y2"
"cctv1","L_01_03","116","372","831","264"
"cctv1","L_01_Main Wat","36","250","643","217"
"cctv3","L_03_01","308","189","479","187"
"cctv3","L_03_04","63","403","544","422"
"cctv3","L_03_09","482","198","506","301"
"cctv3","L_03_Gate3","229","250","164","306"
"cctv4","L_04_07","806","157","794","541"
"cctv4","L_04_03","638","102","452","87"
"cctv7","L_07_Soi5","800","312","8","542"
"cctv7","L_07_04","50","159","369","125"
"cctv8","L_08_09","958","340","478","126"
"cctv8","L_08_07/04","224","186","4","542"
"cctv9","L_09_10","583","230","434","484"
"cctv9","L_09_03","644","163","329","145"
"cctv9","L_09_08","250","385","0","289"
"cctv0","L_10_Main wat","527","171","232","202"
"cctv0","L_10_09","318","378","752","292"
"cctv6","L_Gate3_03","543","213","542","542"
"cctv5","L_Soi5_07","734","257","4","542"
"cctv2","L_02_01","100","200","300","400"
